,word,frequency
250,vote,33
32,today,19
23,country,17
74,u,14
25,let,14
161,go,12
211,president,11
166,day,11
223,election,10
107,believe,10
47,want,10
0,trump,10
345,tomorrow,9
109,together,9
113,never,8
40,need,7
70,one,7
262,make,7
33,stand,6
95,year,6
35,get,6
92,hope,6
176,still,6
30,progress,6
173,chance,6
131,time,6
160,work,5
366,trust,5
123,h,5
182,campaign,5
229,win,5
83,people,5
192,love,5
97,every,5
88,great,4
281,elect,4
210,going,4
85,tonight,4
202,build,4
42,everyone,4
71,million,4
255,confirm,4
310,history,4
264,show,4
319,join,4
105,ever,4
108,always,4
22,best,4
119,forward,4
139,thank,4
78,family,4
80,khan,3
241,much,3
231,vision,3
247,line,3
98,person,3
221,remember,3
84,across,3
89,keep,3
188,right,3
180,someone,3
6,fear,3
114,stop,3
157,heart,3
140,happy,3
249,close,3
12,must,3
302,voting,3
268,already,3
261,help,3
263,remind,3
392,matter,3
60,got,3
8,hate,3
24,future,3
44,w,3
165,count,2
167,little,2
171,powerful,2
253,almost,2
353,face,2
358,reach,2
350,turn,2
347,ready,2
339,c,2
175,world,2
357,ahead,2
159,come,2
163,fighting,2
359,betting,2
330,name,2
158,faith,2
367,tweet,2
369,nuclear,2
156,lose,2
151,weary,2
372,could,2
150,grow,2
146,young,2
141,thanksgiving,2
401,full,2
337,rally,2
306,old,2
320,officially,2
275,hopeful,2
260,battleground,2
243,everything,2
240,team,2
234,last,2
265,sign,2
266,volunteer,2
267,shift,2
225,candidate,2
222,even,2
270,phone,2
272,morning,2
278,unity,2
184,made,2
13,step,2
213,open,2
284,cast,2
287,ballot,2
206,know,2
300,told,2
205,seek,2
301,toward,2
305,place,2
259,amazing,2
318,qualified,2
134,season,2
217,nation,2
130,hard,2
125,free,2
18,strong,2
117,bill,2
118,look,2
111,democracy,2
14,speak,2
59,watch,2
57,inspiring,2
31,message,2
55,thanks,2
79,thinking,2
67,given,2
17,excited,2
115,believing,2
53,new,2
11,part,2
52,daughter,2
127,making,2
129,worked,2
21,standing,2
10,tell,2
100,indeed,2
323,prove,1
331,kind,1
322,difference,1
9,rise,1
329,change,1
324,write,1
328,climate,1
325,discrimination,1
326,science,1
327,act,1
335,finally,1
332,inclusive,1
333,big,1
334,hearted,1
34,heat,1
336,final,1
338,n,1
29,equal,1
340,north,1
341,racism,1
342,bigotry,1
343,broken,1
344,early,1
28,persistence,1
321,thing,1
312,arc,1
36,congress,1
294,home,1
46,health,1
299,democrat,1
298,instrument,1
297,tool,1
296,sacred,1
295,precious,1
293,bring,1
37,cemetery,1
292,run,1
291,ur,1
290,though,1
289,worry,1
288,sure,1
48,feed,1
45,global,1
43,starting,1
303,first,1
304,polling,1
41,stopped,1
39,troubling,1
307,beat,1
308,like,1
309,used,1
38,desecration,1
311,bend,1
27,plus,1
313,justice,1
314,unfit,1
315,office,1
316,fortunately,1
317,exceptionally,1
346,eligible,1
355,shrink,1
348,knocking,1
397,miss,1
404,story,1
403,yesterday,1
402,force,1
400,model,1
399,role,1
398,live,1
396,said,1
388,side,1
395,hit,1
394,along,1
393,came,1
15,chair,1
391,friend,1
390,singularly,1
405,boy,1
406,school,1
407,class,1
408,watched,1
409,speech,1
410,basically,1
411,division,1
412,support,1
413,public,1
414,tuition,1
415,anyone,1
416,le,1
417,poverty,1
418,end,1
419,single,1
420,something,1
421,contribute,1
389,quits,1
387,tough,1
349,helping,1
360,reject,1
19,unified,1
365,extraordinary,1
364,somebody,1
363,boo,1
362,stake,1
361,choose,1
20,party,1
386,leader,1
356,expanding,1
285,next,1
354,test,1
352,rip,1
351,anybody,1
26,resistance,1
368,would,1
370,choice,1
371,booth,1
16,deputy,1
373,clear,1
374,serious,1
375,finish,1
376,job,1
377,hello,1
378,fired,1
379,say,1
380,earth,1
381,divide,1
382,afraid,1
383,duty,1
384,ensure,1
385,handed,1
286,united,1
277,voice,1
49,inner,1
101,beautiful,1
189,worth,1
99,onward,1
187,please,1
186,loss,1
185,champion,1
183,nothing,1
181,put,1
106,truly,1
102,piece,1
179,ceiling,1
178,glass,1
177,highest,1
103,speaking,1
104,important,1
190,marc,1
191,entire,1
96,id,1
193,express,1
194,enormous,1
195,debt,1
196,gratitude,1
197,graceful,1
198,determined,1
199,leadership,1
200,journey,1
201,responsibility,1
94,joy,1
203,better,1
204,fairer,1
93,brought,1
91,awe,1
174,opportunity,1
172,deserving,1
283,proudly,1
142,safe,1
149,scripture,1
148,tune,1
147,career,1
145,brave,1
144,looking,1
143,quality,1
126,college,1
110,honor,1
128,plan,1
138,street,1
137,corner,1
136,display,1
135,determination,1
133,rejoice,1
124,delighted,1
122,wild,1
152,good,1
153,due,1
154,shall,1
155,reap,1
121,soon,1
120,back,1
116,inauguration,1
5,security,1
162,regret,1
164,grateful,1
112,enduring,1
4,enhance,1
168,watching,1
169,doubt,1
170,valuable,1
207,constitutional,1
208,participation,1
209,four,1
254,wait,1
64,real,1
65,fake,1
258,turnout,1
257,total,1
256,orange,1
66,news,1
252,call,1
90,momentum,1
251,question,1
2,weekend,1
68,explanation,1
248,long,1
69,nevertheless,1
246,whether,1
63,point,1
62,saying,1
61,way,1
58,song,1
56,fair,1
269,jump,1
54,book,1
271,key,1
273,woke,1
274,feeling,1
276,power,1
132,thankful,1
51,wonderful,1
279,continued,1
280,high,1
50,check,1
282,woman,1
245,wonder,1
244,girl,1
72,went,1
226,life,1
1,confirmed,1
212,owe,1
87,lot,1
214,mind,1
215,lead,1
216,seen,1
86,constitution,1
218,deeply,1
219,divided,1
220,thought,1
82,fought,1
81,vet,1
3,ban,1
224,represent,1
227,outcome,1
242,whatever,1
228,sorry,1
77,aspire,1
230,share,1
76,vibrancy,1
232,hold,1
233,successful,1
75,energy,1
235,night,1
236,behalf,1
237,deliver,1
238,york,1
239,city,1
7,resentment,1
73,lady,1
422,really,1
